trial,pA
0,0.5
1,0.6800000906632718
2,0.7300643657618067
3,0.7516886504287043
4,0.7771573900024358
5,0.786052141334753
6,0.7878403240927271
7,0.8000471969633621
8,0.8324823713538378
9,0.8213619565152928
10,0.826011535207416
11,0.8627262981948257
12,0.8702435715253458
13,0.8821433759619776
14,0.8838143126898295
15,0.8809676742533646
16,0.8827885925897634
17,0.8872366758352238
18,0.907021835620025
19,0.9295770150126412
20,0.9527766233571202
21,0.9675056149688737
22,0.9702062100058245
23,0.9800000037499234
24,0.9800086564179813
25,0.9804076934047723
26,0.9825213439547673
27,0.9855052106156612
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,1.0
