ID,round,choice,reward
0,0,0,5
0,1,1,0
0,2,0,5
0,3,0,5
0,4,0,5
0,5,1,0
0,6,0,5
0,7,1,30
0,8,0,5
0,9,1,30
0,10,1,30
0,11,1,0
0,12,1,30
0,13,0,5
0,14,0,5
0,15,0,5
0,16,0,5
0,17,0,5
0,18,1,30
0,19,0,5
0,20,0,5
0,21,1,30
0,22,1,0
0,23,0,5
0,24,0,5
0,25,1,30
0,26,0,5
0,27,0,5
0,28,0,5
0,29,0,5
0,30,0,5
0,31,1,0
0,32,1,30
0,33,1,30
0,34,1,30
0,35,0,5
0,36,0,5
0,37,0,5
0,38,1,30
0,39,1,30
0,40,1,0
0,41,1,0
0,42,0,5
0,43,0,5
0,44,0,5
0,45,0,5
0,46,0,5
0,47,1,30
0,48,0,5
0,49,1,30
0,50,1,30
0,51,0,5
0,52,0,5
0,53,0,5
0,54,1,0
0,55,1,30
0,56,1,30
0,57,0,5
0,58,0,5
0,59,1,30
0,60,1,30
0,61,1,0
0,62,1,0
0,63,1,30
0,64,0,5
0,65,0,5
0,66,0,5
0,67,1,30
0,68,0,5
0,69,1,0
0,70,0,5
0,71,0,5
0,72,1,30
0,73,0,5
0,74,0,5
0,75,1,0
0,76,0,5
0,77,1,0
0,78,0,5
0,79,0,5
0,80,1,0
0,81,1,0
0,82,1,0
0,83,0,5
0,84,0,5
0,85,0,5
0,86,0,5
0,87,1,0
0,88,1,30
0,89,1,0
0,90,1,30
0,91,1,30
0,92,0,5
0,93,0,5
0,94,1,0
0,95,0,5
0,96,0,5
0,97,1,30
0,98,1,0
0,99,0,5
1,0,1,0
1,1,0,5
1,2,1,0
1,3,0,5
1,4,0,5
1,5,1,30
1,6,0,5
1,7,0,5
1,8,1,30
1,9,1,0
1,10,1,30
1,11,1,30
1,12,0,5
1,13,0,5
1,14,1,30
1,15,0,5
1,16,0,5
1,17,1,0
1,18,1,0
1,19,1,30
1,20,1,0
1,21,1,0
1,22,0,5
1,23,1,0
1,24,1,30
1,25,0,5
1,26,1,0
1,27,0,5
1,28,1,30
1,29,1,30
1,30,0,5
1,31,0,5
1,32,1,30
1,33,0,5
1,34,1,0
1,35,1,30
1,36,1,30
1,37,0,5
1,38,0,5
1,39,1,0
1,40,0,5
1,41,0,5
1,42,0,5
1,43,0,5
1,44,0,5
1,45,0,5
1,46,1,0
1,47,1,30
1,48,0,5
1,49,1,30
1,50,1,0
1,51,1,30
1,52,1,0
1,53,0,5
1,54,0,5
1,55,1,30
1,56,1,0
1,57,0,5
1,58,1,30
1,59,1,0
1,60,1,30
1,61,0,5
1,62,1,30
1,63,1,30
1,64,0,5
1,65,1,30
1,66,1,0
1,67,0,5
1,68,1,30
1,69,1,30
1,70,1,0
1,71,0,5
1,72,0,5
1,73,1,30
1,74,1,30
1,75,1,30
1,76,0,5
1,77,1,0
1,78,0,5
1,79,1,0
1,80,0,5
1,81,1,0
1,82,1,0
1,83,1,30
1,84,1,30
1,85,1,30
1,86,1,30
1,87,1,30
1,88,1,0
1,89,1,30
1,90,1,30
1,91,1,30
1,92,1,0
1,93,1,0
1,94,1,30
1,95,1,0
1,96,1,30
1,97,1,30
1,98,1,30
1,99,1,0
2,0,0,5
2,1,0,5
2,2,1,30
2,3,1,30
2,4,1,30
2,5,0,5
2,6,1,0
2,7,1,30
2,8,0,5
2,9,1,30
2,10,0,5
2,11,0,5
2,12,0,5
2,13,0,5
2,14,1,30
2,15,1,0
2,16,0,5
2,17,0,5
2,18,1,0
2,19,1,30
2,20,0,5
2,21,0,5
2,22,0,5
2,23,0,5
2,24,1,0
2,25,0,5
2,26,0,5
2,27,0,5
2,28,0,5
2,29,0,5
2,30,0,5
2,31,0,5
2,32,0,5
2,33,0,5
2,34,1,0
2,35,1,30
2,36,0,5
2,37,0,5
2,38,0,5
2,39,1,0
2,40,1,0
2,41,1,30
2,42,0,5
2,43,1,30
2,44,1,0
2,45,1,0
2,46,1,0
2,47,1,30
2,48,0,5
2,49,0,5
2,50,1,30
2,51,1,30
2,52,0,5
2,53,1,30
2,54,1,0
2,55,1,30
2,56,1,0
2,57,0,5
2,58,1,30
2,59,1,30
2,60,0,5
2,61,0,5
2,62,1,30
2,63,1,30
2,64,1,30
2,65,0,5
2,66,1,0
2,67,0,5
2,68,0,5
2,69,1,0
2,70,0,5
2,71,1,30
2,72,1,0
2,73,0,5
2,74,0,5
2,75,0,5
2,76,0,5
2,77,0,5
2,78,1,0
2,79,0,5
2,80,1,0
2,81,0,5
2,82,0,5
2,83,1,0
2,84,1,30
2,85,1,30
2,86,0,5
2,87,0,5
2,88,0,5
2,89,0,5
2,90,0,5
2,91,0,5
2,92,0,5
2,93,1,0
2,94,1,30
2,95,0,5
2,96,1,0
2,97,1,30
2,98,0,5
2,99,1,30
3,0,1,30
3,1,0,5
3,2,1,30
3,3,0,5
3,4,0,5
3,5,0,5
3,6,1,30
3,7,0,5
3,8,1,0
3,9,1,0
3,10,0,5
3,11,0,5
3,12,1,30
3,13,1,0
3,14,0,5
3,15,1,0
3,16,1,0
3,17,0,5
3,18,0,5
3,19,0,5
3,20,0,5
3,21,0,5
3,22,1,0
3,23,0,5
3,24,0,5
3,25,1,30
3,26,1,30
3,27,1,0
3,28,0,5
3,29,0,5
3,30,0,5
3,31,1,30
3,32,1,30
3,33,0,5
3,34,0,5
3,35,0,5
3,36,0,5
3,37,1,30
3,38,0,5
3,39,0,5
3,40,0,5
3,41,0,5
3,42,1,0
3,43,0,5
3,44,0,5
3,45,1,30
3,46,0,5
3,47,0,5
3,48,1,30
3,49,0,5
3,50,1,30
3,51,0,5
3,52,1,0
3,53,1,0
3,54,1,0
3,55,0,5
3,56,1,30
3,57,0,5
3,58,1,30
3,59,1,0
3,60,0,5
3,61,0,5
3,62,0,5
3,63,1,30
3,64,1,0
3,65,0,5
3,66,0,5
3,67,1,30
3,68,1,0
3,69,0,5
3,70,0,5
3,71,0,5
3,72,1,0
3,73,1,30
3,74,1,30
3,75,1,0
3,76,0,5
3,77,1,30
3,78,1,30
3,79,1,0
3,80,0,5
3,81,1,30
3,82,1,30
3,83,0,5
3,84,0,5
3,85,1,0
3,86,0,5
3,87,1,0
3,88,0,5
3,89,0,5
3,90,0,5
3,91,0,5
3,92,1,0
3,93,1,30
3,94,1,30
3,95,1,30
3,96,1,0
3,97,1,30
3,98,1,0
3,99,1,0
4,0,1,0
4,1,0,5
4,2,0,5
4,3,0,5
4,4,1,0
4,5,1,30
4,6,0,5
4,7,1,0
4,8,0,5
4,9,0,5
4,10,0,5
4,11,0,5
4,12,0,5
4,13,1,30
4,14,0,5
4,15,0,5
4,16,0,5
4,17,1,30
4,18,1,0
4,19,0,5
4,20,1,30
4,21,1,30
4,22,1,0
4,23,1,30
4,24,1,30
4,25,1,30
4,26,1,30
4,27,1,30
4,28,1,0
4,29,1,0
4,30,1,0
4,31,1,30
4,32,1,0
4,33,1,0
4,34,1,30
4,35,1,30
4,36,1,0
4,37,1,30
4,38,1,0
4,39,1,0
4,40,1,30
4,41,0,5
4,42,1,30
4,43,0,5
4,44,1,0
4,45,1,0
4,46,0,5
4,47,0,5
4,48,0,5
4,49,1,30
4,50,0,5
4,51,1,0
4,52,0,5
4,53,1,30
4,54,0,5
4,55,1,30
4,56,0,5
4,57,1,30
4,58,0,5
4,59,0,5
4,60,0,5
4,61,0,5
4,62,0,5
4,63,0,5
4,64,1,0
4,65,1,0
4,66,0,5
4,67,0,5
4,68,1,30
4,69,1,0
4,70,0,5
4,71,0,5
4,72,0,5
4,73,1,30
4,74,1,0
4,75,0,5
4,76,0,5
4,77,0,5
4,78,0,5
4,79,1,30
4,80,1,30
4,81,0,5
4,82,1,30
4,83,0,5
4,84,0,5
4,85,0,5
4,86,0,5
4,87,1,30
4,88,1,0
4,89,0,5
4,90,0,5
4,91,1,30
4,92,1,30
4,93,1,0
4,94,1,30
4,95,1,30
4,96,1,0
4,97,1,0
4,98,1,0
4,99,1,30
5,0,0,5
5,1,0,5
5,2,0,5
5,3,0,5
5,4,0,5
5,5,1,0
5,6,1,30
5,7,1,30
5,8,1,30
5,9,1,0
5,10,1,0
5,11,0,5
5,12,0,5
5,13,1,0
5,14,1,0
5,15,1,30
5,16,0,5
5,17,1,30
5,18,1,0
5,19,1,30
5,20,1,30
5,21,1,30
5,22,0,5
5,23,0,5
5,24,1,30
5,25,1,30
5,26,1,0
5,27,0,5
5,28,1,30
5,29,1,30
5,30,1,30
5,31,1,30
5,32,0,5
5,33,1,30
5,34,1,30
5,35,0,5
5,36,1,30
5,37,1,0
5,38,1,0
5,39,0,5
5,40,0,5
5,41,0,5
5,42,0,5
5,43,1,0
5,44,1,30
5,45,1,30
5,46,1,0
5,47,1,30
5,48,0,5
5,49,0,5
5,50,0,5
5,51,1,0
5,52,0,5
5,53,1,0
5,54,0,5
5,55,1,30
5,56,0,5
5,57,1,0
5,58,0,5
5,59,1,30
5,60,1,0
5,61,1,0
5,62,1,30
5,63,1,30
5,64,1,30
5,65,1,0
5,66,1,30
5,67,0,5
5,68,0,5
5,69,1,30
5,70,0,5
5,71,1,30
5,72,1,30
5,73,0,5
5,74,1,0
5,75,0,5
5,76,0,5
5,77,0,5
5,78,1,30
5,79,1,0
5,80,1,0
5,81,1,0
5,82,0,5
5,83,0,5
5,84,0,5
5,85,1,0
5,86,0,5
5,87,1,30
5,88,1,30
5,89,0,5
5,90,0,5
5,91,0,5
5,92,0,5
5,93,0,5
5,94,1,30
5,95,1,30
5,96,0,5
5,97,1,30
5,98,0,5
5,99,0,5
6,0,1,0
6,1,0,5
6,2,0,5
