ID,round,choice,reward
0,0,1,15
0,1,0,5
0,2,0,5
0,3,1,0
0,4,0,5
0,5,0,5
0,6,0,5
0,7,1,0
0,8,0,5
0,9,0,5
0,10,0,5
0,11,0,5
0,12,0,5
0,13,0,5
0,14,0,5
0,15,0,5
0,16,0,5
0,17,0,5
0,18,0,5
0,19,0,5
0,20,0,5
0,21,1,15
0,22,1,0
0,23,0,5
0,24,0,5
0,25,0,5
0,26,0,5
0,27,0,5
0,28,1,15
0,29,0,5
0,30,0,5
0,31,1,0
0,32,1,0
0,33,1,0
0,34,0,5
0,35,0,5
0,36,0,5
0,37,0,5
0,38,1,0
0,39,1,0
0,40,0,5
0,41,0,5
0,42,0,5
0,43,0,5
0,44,0,5
0,45,0,5
0,46,0,5
0,47,1,15
0,48,1,0
0,49,0,5
0,50,0,5
0,51,1,0
0,52,1,0
0,53,0,5
0,54,1,0
0,55,0,5
0,56,1,15
0,57,1,0
0,58,1,0
0,59,1,15
0,60,1,15
0,61,0,5
0,62,0,5
0,63,0,5
0,64,1,0
0,65,1,0
0,66,0,5
0,67,0,5
0,68,1,15
0,69,0,5
0,70,1,0
0,71,0,5
0,72,1,0
0,73,0,5
0,74,1,0
0,75,0,5
0,76,1,15
0,77,1,0
0,78,1,15
0,79,1,15
0,80,1,15
0,81,1,0
0,82,1,15
0,83,1,0
0,84,0,5
0,85,1,0
0,86,1,0
0,87,1,0
0,88,0,5
0,89,0,5
0,90,0,5
0,91,0,5
0,92,1,15
0,93,1,0
0,94,1,15
0,95,0,5
0,96,1,15
0,97,0,5
0,98,1,15
0,99,0,5
1,0,0,5
1,1,0,5
1,2,1,0
1,3,0,5
1,4,1,15
1,5,1,0
1,6,1,0
1,7,1,15
1,8,1,0
1,9,1,15
1,10,1,0
1,11,1,0
1,12,0,5
1,13,1,0
1,14,1,0
1,15,0,5
1,16,0,5
1,17,0,5
1,18,1,15
1,19,0,5
1,20,0,5
1,21,0,5
1,22,0,5
1,23,0,5
1,24,0,5
1,25,0,5
1,26,1,0
1,27,0,5
1,28,1,15
1,29,1,0
1,30,1,0
1,31,0,5
1,32,0,5
1,33,0,5
1,34,0,5
1,35,0,5
1,36,0,5
1,37,1,0
1,38,1,0
1,39,1,0
1,40,1,0
1,41,1,0
1,42,0,5
1,43,0,5
1,44,0,5
1,45,0,5
1,46,1,0
1,47,1,15
1,48,1,0
1,49,0,5
1,50,1,0
1,51,0,5
1,52,1,0
1,53,0,5
1,54,0,5
1,55,0,5
1,56,0,5
1,57,1,15
1,58,1,0
1,59,1,15
1,60,0,5
1,61,1,0
1,62,0,5
1,63,0,5
1,64,0,5
1,65,1,15
1,66,1,15
1,67,1,15
1,68,0,5
1,69,0,5
1,70,1,0
1,71,1,0
1,72,0,5
1,73,1,0
1,74,1,15
1,75,1,15
1,76,1,0
1,77,1,15
1,78,0,5
1,79,0,5
1,80,0,5
1,81,1,0
1,82,0,5
1,83,1,0
1,84,0,5
1,85,1,0
1,86,1,0
1,87,1,0
1,88,1,0
1,89,0,5
1,90,0,5
1,91,0,5
1,92,1,0
1,93,1,15
1,94,1,15
1,95,1,0
1,96,1,0
1,97,0,5
1,98,1,0
1,99,0,5
2,0,0,5
2,1,0,5
2,2,0,5
2,3,0,5
2,4,0,5
2,5,0,5
2,6,0,5
2,7,1,0
2,8,0,5
2,9,1,0
2,10,0,5
2,11,1,15
2,12,1,0
2,13,0,5
2,14,0,5
2,15,1,15
2,16,1,15
2,17,1,15
2,18,1,0
2,19,1,0
2,20,1,0
2,21,1,15
2,22,1,0
2,23,1,0
2,24,0,5
2,25,0,5
2,26,1,0
2,27,0,5
2,28,0,5
2,29,0,5
2,30,0,5
2,31,0,5
2,32,1,0
2,33,1,15
2,34,0,5
2,35,1,15
2,36,1,0
2,37,1,0
2,38,1,15
2,39,0,5
2,40,1,0
2,41,1,0
2,42,1,0
2,43,0,5
2,44,1,0
2,45,0,5
2,46,1,0
2,47,0,5
2,48,0,5
2,49,0,5
2,50,0,5
2,51,1,0
2,52,0,5
2,53,1,15
2,54,1,0
2,55,0,5
2,56,0,5
2,57,1,15
2,58,0,5
2,59,0,5
2,60,0,5
2,61,1,0
2,62,1,0
2,63,0,5
2,64,0,5
2,65,0,5
2,66,0,5
2,67,1,15
2,68,0,5
2,69,0,5
2,70,0,5
2,71,0,5
2,72,0,5
2,73,1,0
2,74,1,15
2,75,0,5
2,76,0,5
2,77,0,5
2,78,1,0
2,79,1,0
2,80,1,0
2,81,0,5
2,82,0,5
2,83,0,5
2,84,0,5
2,85,0,5
2,86,1,0
2,87,0,5
2,88,0,5
2,89,1,0
2,90,1,15
2,91,0,5
2,92,1,0
2,93,1,0
2,94,1,15
2,95,1,15
2,96,0,5
2,97,1,0
2,98,0,5
2,99,1,0
3,0,1,0
3,1,0,5
3,2,0,5
3,3,0,5
3,4,0,5
3,5,0,5
3,6,1,0
3,7,0,5
3,8,1,0
3,9,0,5
3,10,0,5
3,11,0,5
3,12,1,0
3,13,0,5
3,14,0,5
3,15,0,5
3,16,1,0
3,17,1,0
3,18,0,5
3,19,0,5
3,20,0,5
3,21,1,0
3,22,0,5
3,23,0,5
3,24,0,5
3,25,0,5
3,26,0,5
3,27,1,15
3,28,1,15
3,29,1,0
3,30,0,5
3,31,0,5
3,32,0,5
3,33,0,5
3,34,0,5
3,35,1,0
3,36,0,5
3,37,0,5
3,38,1,15
3,39,1,0
3,40,0,5
3,41,1,0
3,42,0,5
3,43,0,5
3,44,0,5
3,45,0,5
3,46,0,5
3,47,0,5
3,48,0,5
3,49,0,5
3,50,0,5
3,51,0,5
3,52,0,5
3,53,0,5
3,54,0,5
3,55,1,0
3,56,0,5
3,57,1,0
3,58,1,0
3,59,1,0
3,60,1,0
3,61,1,0
3,62,0,5
3,63,0,5
3,64,1,0
3,65,1,15
3,66,0,5
3,67,1,15
3,68,0,5
3,69,0,5
3,70,0,5
3,71,0,5
3,72,0,5
3,73,0,5
3,74,0,5
3,75,1,0
3,76,1,0
3,77,1,15
3,78,0,5
3,79,1,0
3,80,1,0
3,81,0,5
3,82,0,5
3,83,1,0
3,84,0,5
3,85,0,5
3,86,0,5
3,87,0,5
3,88,1,15
3,89,1,15
3,90,1,0
3,91,0,5
3,92,0,5
3,93,1,15
3,94,0,5
3,95,1,0
3,96,0,5
3,97,1,0
3,98,0,5
3,99,1,0
4,0,0,5
4,1,1,15
4,2,1,15
4,3,1,0
4,4,1,0
4,5,1,15
4,6,1,15
4,7,1,0
4,8,0,5
4,9,0,5
4,10,0,5
4,11,1,0
4,12,1,0
4,13,1,0
4,14,1,15
4,15,1,0
4,16,1,15
4,17,0,5
4,18,0,5
4,19,0,5
4,20,0,5
4,21,1,15
4,22,0,5
4,23,1,0
4,24,0,5
4,25,1,0
4,26,1,0
4,27,0,5
4,28,1,0
4,29,1,0
4,30,0,5
4,31,1,0
4,32,0,5
4,33,1,15
4,34,1,0
4,35,0,5
4,36,1,0
4,37,0,5
4,38,0,5
4,39,1,0
4,40,1,0
4,41,0,5
4,42,0,5
4,43,0,5
4,44,0,5
4,45,1,0
4,46,0,5
4,47,0,5
4,48,1,0
4,49,1,15
4,50,0,5
4,51,1,15
4,52,1,15
4,53,1,0
4,54,0,5
4,55,0,5
4,56,0,5
4,57,0,5
4,58,1,0
4,59,0,5
4,60,0,5
4,61,0,5
4,62,1,0
4,63,1,0
4,64,0,5
4,65,0,5
